TEKLİF NUMARASI,HASARSIZLIK İNDİRİMİ KADEMESİ,TRAFİK BASAMAK KODU,MARKA,ARAÇ YAŞI,MODEL YILI,YAKIT TİPİ,İL,İLÇE,YAŞ ,TEKLİF PRİMİ,PORTFÖY AYRIMI,SİGORTALI TİPİ,TEKLİF ONAY DURUMU
15325,0%,5,HONDA,3,2021,BENZİN,İZMİR,KONAK,40,11.412,İLK DEFA SİGORTALI,O,P
15326,0%,7,FORD,1,2023,DIZEL,İSTANBUL,AVCILAR,35,12.962,İLK DEFA SİGORTALI,O,T
15327,60%,7,VOLKSWAGEN,5,2019,BENZİN,İSTANBUL,BÜYÜKÇEKMECE,56,13.038,YENİ İŞ,O,T
15328,30%,7,HONDA,2,2022,BENZİN,İSTANBUL,MALTEPE,44,16.981,YENİ İŞ,O,T
15329,60%,7,VOLKSWAGEN,1,2023,BENZİN,ANKARA,ÇANKAYA,29,7.120,YENİLEME,O,P
15330,50%,7,FORD,3,2021,BENZİN,İZMİR,ÖDEMİŞ,33,7.849,YENİ İŞ,O,T
15331,40%,5,FORD,5,2019,DIZEL,ANKARA,KEÇİÖREN,48,9.722,YENİ İŞ,O,T
15332,0%,4,VOLKSWAGEN,1,2023,BENZİN,İZMİR,KARŞIYAKA,50,9.051,İLK DEFA SİGORTALI,O,T
15333,50%,5,HONDA,2,2022,BENZİN,İSTANBUL,BAHÇELİEVLER,39,12.050,YENİ İŞ,O,T
15334,30%,6,FORD,3,2021,DIZEL,ANKARA,,0,16.204,YENİ İŞ,T,T
15335,0%,4,VOLKSWAGEN,4,2020,BENZİN,ANKARA,ÇANKAYA,56,14.406,İLK DEFA SİGORTALI,O,T
15336,30%,5,RENAULT,1,2023,DIZEL,İSTANBUL,,0,6.481,YENİ İŞ,T,T
15337,0%,4,VOLKSWAGEN,1,2023,BENZİN,ANKARA,KEÇİÖREN,42,12.269,İLK DEFA SİGORTALI,O,T
15338,30%,4,VOLKSWAGEN,2,2022,DIZEL,İSTANBUL,,0,24.224,YENİ İŞ,T,T
15339,30%,4,VOLKSWAGEN,3,2021,BENZİN,ANKARA,,0,16.456,YENİ İŞ,T,T
15340,0%,6,RENAULT,2,2022,BENZİN,ANKARA,ETİMESGUT,44,9.541,İLK DEFA SİGORTALI,O,T
15341,60%,7,FORD,1,2023,BENZİN,İSTANBUL,,0,9.314,YENİ İŞ,T,T
15342,0%,8,FORD,1,2023,BENZİN,İSTANBUL,KÜÇÜKÇEKMECE,53,12.977,İLK DEFA SİGORTALI,O,T
15343,0%,4,VOLKSWAGEN,1,2023,BENZİN,İZMİR,BORNOVA,38,8.656,İLK DEFA SİGORTALI,O,T
15344,0%,4,VOLKSWAGEN,2,2022,DIZEL,İSTANBUL,GÜNGÖREN,24,12.623,İLK DEFA SİGORTALI,O,T
15345,0%,4,TOYOTA,1,2023,DIZEL,İZMİR,KARABAĞLAR,32,9.195,İLK DEFA SİGORTALI,O,T
15346,60%,7,TOYOTA,4,2020,BENZİN,İSTANBUL,BAYRAMPAŞA,39,5.906,YENİ İŞ,O,T
15347,30%,4,MERCEDES,1,2023,DIZEL,İSTANBUL,BEYLİKDÜZÜ,57,19.155,YENİ İŞ,O,P
15348,60%,7,VOLKSWAGEN,4,2020,DIZEL,İSTANBUL,SULTANBEYLİ,60,15.096,YENİ İŞ,O,T
15350,40%,8,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,ŞİŞLİ,34,6.795,YENİ İŞ,O,T
15351,30%,5,RENAULT,1,2023,DIZEL,İSTANBUL,,0,11.048,YENİ İŞ,T,T
15352,30%,8,RENAULT,1,2023,BENZİN,İSTANBUL,PENDİK,53,10.609,YENİ İŞ,O,T
15353,0%,6,RENAULT,2,2022,BENZİN,İSTANBUL,PENDİK,33,7.119,İLK DEFA SİGORTALI,O,P
15354,0%,4,MERCEDES,5,2019,DIZEL,ANKARA,GÖLBAŞI,25,29.478,İLK DEFA SİGORTALI,O,T
15355,60%,7,VOLKSWAGEN,1,2023,BENZİN,ANKARA,ETİMESGUT,33,7.319,YENİLEME,O,T
15356,30%,7,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,EYÜP,38,9.073,YENİ İŞ,O,T
15357,60%,7,VOLKSWAGEN,2,2022,BENZİN,İZMİR,BORNOVA,32,9.816,YENİ İŞ,O,T
15358,60%,7,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,PENDİK,29,6.989,YENİ İŞ,O,T
15359,0%,6,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,BAŞAKŞEHİR,46,13.890,İLK DEFA SİGORTALI,O,T
15360,60%,4,FORD,2,2022,DIZEL,İSTANBUL,KADIKÖY,38,10.638,YENİ İŞ,O,T
15361,60%,7,FORD,4,2020,DIZEL,İSTANBUL,,0,7.595,YENİ İŞ,T,T
15362,30%,5,VOLKSWAGEN,1,2023,DIZEL,İZMİR,BORNOVA,40,9.795,YENİ İŞ,O,T
15363,30%,6,FORD,1,2023,DIZEL,ANKARA,,0,19.906,YENİ İŞ,T,T
15364,0%,4,VOLKSWAGEN,5,2019,BENZİN,ANKARA,ÇANKAYA,31,10.624,İLK DEFA SİGORTALI,O,T
15366,40%,6,VOLKSWAGEN,2,2022,BENZİN,ANKARA,,0,9.241,YENİ İŞ,T,T
15367,30%,6,TOYOTA,2,2022,BENZİN,ANKARA,ÇANKAYA,52,7.925,YENİLEME,O,P
15368,50%,6,FORD,3,2021,DIZEL,İSTANBUL,,0,9.499,YENİ İŞ,T,T
15369,60%,7,VOLKSWAGEN,5,2019,DIZEL,İSTANBUL,ESENYURT,46,8.835,YENİ İŞ,O,T
15370,30%,7,VOLKSWAGEN,5,2019,DIZEL,ANKARA,ÇUBUK,38,14.609,YENİ İŞ,O,P
15371,50%,7,VOLKSWAGEN,3,2021,BENZİN,ANKARA,YENİMAHALLE,59,8.047,YENİ İŞ,O,T
15372,60%,6,MERCEDES,3,2021,DIZEL,ANKARA,,0,19.873,YENİ İŞ,T,T
15373,30%,5,FORD,1,2023,DIZEL,İZMİR,KARABAĞLAR,46,6.853,YENİ İŞ,O,P
15374,60%,2,FORD,1,2023,DIZEL,İZMİR,KARABAĞLAR,59,17.619,YENİLEME,O,T
15375,30%,6,TOYOTA,3,2021,BENZİN,İZMİR,BAYRAKLI,29,9.930,YENİ İŞ,O,T
15376,0%,7,HONDA,1,2023,BENZİN,İSTANBUL,BEYKOZ,42,18.585,İLK DEFA SİGORTALI,O,T
15377,0%,2,FORD,2,2022,DIZEL,İSTANBUL,BAHÇELİEVLER,48,6.624,İLK DEFA SİGORTALI,O,T
15378,50%,8,VOLKSWAGEN,5,2019,DIZEL,İSTANBUL,PENDİK,46,14.092,YENİ İŞ,O,T
15379,0%,4,FORD,0,2024,DIZEL,İSTANBUL,,0,96.984,İLK DEFA SİGORTALI,T,T
15380,0%,4,FORD,3,2021,DIZEL,ANKARA,,0,19.617,İLK DEFA SİGORTALI,T,T
15381,60%,7,RENAULT,2,2022,DIZEL,İSTANBUL,,0,8.883,YENİLEME,T,P
15382,0%,7,FORD,2,2022,DIZEL,İSTANBUL,KÜÇÜKÇEKMECE,44,11.070,İLK DEFA SİGORTALI,O,T
15383,50%,7,FORD,4,2020,DIZEL,ANKARA,,0,6.898,YENİ İŞ,T,T
15384,0%,4,FORD,1,2023,DIZEL,İZMİR,BORNOVA,39,18.754,İLK DEFA SİGORTALI,O,T
15385,50%,7,TOYOTA,3,2021,DIZEL,ANKARA,,0,15.354,YENİ İŞ,T,T
15386,0%,4,VOLKSWAGEN,5,2019,DIZEL,ANKARA,KEÇİÖREN,42,12.750,İLK DEFA SİGORTALI,O,T
15387,30%,5,MERCEDES,1,2023,BENZİN,İSTANBUL,AVCILAR,41,18.120,YENİ İŞ,O,T
15388,60%,5,TOYOTA,1,2023,DIZEL,ANKARA,ETİMESGUT,52,9.213,YENİ İŞ,O,T
15389,40%,7,TOYOTA,4,2020,BENZİN,ANKARA,ALTINDAĞ,34,6.914,YENİ İŞ,O,T
15390,60%,8,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,TUZLA,49,8.652,YENİ İŞ,O,T
15391,60%,7,RENAULT,1,2023,DIZEL,İZMİR,,0,12.594,YENİ İŞ,T,T
15392,30%,5,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,SANCAKTEPE,38,14.690,YENİ İŞ,O,T
15393,40%,6,FORD,2,2022,DIZEL,İSTANBUL,,0,10.197,YENİ İŞ,T,P
15394,30%,5,VOLKSWAGEN,1,2023,BENZİN,İZMİR,KARŞIYAKA,33,7.778,YENİ İŞ,O,T
15395,0%,4,HONDA,2,2022,BENZİN,ANKARA,ÇANKAYA,31,16.086,İLK DEFA SİGORTALI,O,T
15396,60%,6,FORD,4,2020,DIZEL,İSTANBUL,,0,8.709,YENİ İŞ,T,T
